0,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.271,84,15,46,15,26,15,0,0,0,0,0,25,15,25,15,0,20,0,0,0,0
0.275,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
0.28,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,0,0,10,10
0.281,0,0,0,0,0,0,15,15,14,12,29,29,24,24,18,0,0,0,0,0,0
0.284,0,0,0,15,0,15,0,0,0,0,0,25,25,15,25,20,0,10,0,0,10
0.285,28,28,28,25,34,27,26,30,30,31,40,42,31,27,17,15,18,0,10,0,0
0.286,0,10,10,10,10,10,10,25,25,25,30,10,10,10,20,25,35,25,12,10,0
0.291,20,26,26,35,26,35,26,26,26,16,23,15,15,15,15,0,0,0,0,0,10
0.292,18,18,18,15,24,17,26,20,19,19,27,18,21,26,12,15,13,11,21,10,0
0.293,0,10,10,10,10,10,10,0,0,0,10,20,20,20,20,15,30,15,15,0,0
0.294,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
0.296,10,15,16,25,16,25,16,16,16,16,13,45,45,35,35,10,30,0,0,10,0
0.297,18,18,18,15,24,17,26,18,18,18,29,18,18,0,12,12,16,0,11,0,0
0.298,15,25,26,35,26,35,26,21,21,21,23,15,15,15,0,0,0,10,0,10,10
0.299,28,28,28,25,34,27,36,27,30,28,37,55,38,29,15,12,26,0,17,0,0
0.2998,10,10,10,10,10,10,10,30,30,20,30,30,20,30,50,30,30,0,0,10,10
0.3,38,38,38,38,38,28,34,21,24,24,33,20,10,10,10,19,19,0,13,0,10
0.3001,10,10,10,10,10,10,10,20,30,30,30,30,20,20,30,20,10,20,20,0,15
0.3002,10,10,10,10,10,10,10,30,40,30,30,20,10,20,40,30,10,10,10,10,10
0.301,15,25,26,35,26,35,26,21,21,21,23,15,15,15,15,0,10,0,0,10,10
0.302,28,28,28,25,34,27,26,27,27,23,32,38,38,17,19,38,11,0,11,20,0
0.303,10,10,10,10,10,10,10,25,25,15,20,30,20,10,20,30,28,25,15,0,0
0.304,10,15,16,25,16,25,0,16,16,0,13,25,25,18,17,20,10,10,0,0,0
0.305,28,28,28,25,34,25,36,27,30,28,33,29,36,16,10,22,10,0,11,0,10
0.306,0,15,16,25,16,25,16,31,36,31,33,30,0,15,25,35,35,25,20,0,0
0.307,38,38,38,35,44,34,46,37,40,38,41,49,45,36,30,32,34,16,21,17,20
0.308,0,10,10,10,10,10,10,25,25,25,30,20,10,10,30,35,25,20,15,0,0
0.311,0,0,0,15,0,15,0,26,26,26,23,25,0,0,24,10,20,40,10,0,0
0.312,28,28,28,25,34,24,36,27,27,28,25,28,25,0,10,12,14,0,11,0,0
0.313,15,20,20,20,20,20,10,15,15,15,20,20,20,20,10,20,20,0,0,0,0
0.314,0,0,0,0,0,0,0,20,30,20,10,20,0,10,20,37,11,0,20,0,0
0.318,0,0,0,15,0,15,0,26,26,26,13,16,15,15,23,20,20,20,10,0,0
0.319,18,18,18,15,24,14,26,17,20,18,20,12,0,0,0,12,14,13,11,0,0
0.32,0,10,10,10,10,10,10,10,0,10,10,0,0,0,0,0,10,0,10,10,0
0.322,0,0,0,0,0,0,12,30,30,29,35,26,13,23,20,33,25,23,0,0,0
0.323,10,10,10,10,10,10,0,10,10,10,10,20,10,10,20,10,10,0,0,10,10
